t_wall,t_rel,cmd_pulse,cmd_steer_deg,drive_pulse_cmd,brake_level,ego_x_m,ego_y_m,ego_heading_deg,ego_pulse,ego_wp_idx,ego_wp_total,ego_fix_ok,cte_m,heading_err_deg,target_idx,target_dist_m,goal_dist_m,gps_course_deg,fuse_corr_deg,gyro_z_dps,brake_latched,head_init_deg,head_sigma_deg,head_resid_m,head_dist_m,ref_pulse,out_pulse,meas_pulse,cte_integral,cte_i_term_deg,goal_phase,cb_state,cb_v0_ms,cb_v_corner_ms,encoder_sum,speed_kmh,steer_measured_deg,throttle_raw,control_state,vehicle_mode,estop,board_status,drive_state,drive_cmd,drive_event,tl_state,tl_near_metric,tl_red_far,sl_y,sl_wait,fix_lat,fix_lon,fix_alt_m,fix_status,fix_cov_xx,gps_lat,gps_lon,gps_quality,gps_sigma_m,gps_pos_ok,gps_is_raw,gps_raw_age_s,gps_dr_dist_m,gps_kmh,gps_fix_course_deg,gps_mode,gps_reject_n,gps_resid_m,imu_quat_x,imu_quat_y,imu_quat_z,imu_quat_w,imu_gyro_x,imu_gyro_y,imu_gyro_z,imu_acc_x,imu_acc_y,imu_acc_z
1787052338.339198,7.258,3.0,0.0,3,0,77097.67327609705,-59270.08799020913,0.0,2.5,0.0,383.0,0.0,1.005420355691888,0.8787613038096161,382.0,0.9182690551089114,31.63113674883589,140.68367605635052,-0.3239266594944951,-1.475,0.0,-10.717327379879146,1.0254077910380832,0.010422583454199535,1.1174025149842828,3.0,3.0,0.44247291797063165,0.0,0.0,0.0,0.0,3.2219213442978902,nan,5,6.7368855476379395,-1,169,True,True,False,"A:1,B:1,ESTOP:0,MODE:1",DRIVE_HEADING,,,UNKNOWN,0.0,False,-1.0,False,36.96756789,127.872977435,122.949,1,0.004096,36.96756774067286,127.8729782148336,2.0,0.0800292387008667,0.0,0.0,0.0320584774017334,0.0708492350578308,7.049491074428208,-13.545891682909843,0.0,9.0,0.0,-0.0034025335707154603,-0.016307581550503922,0.29031628119803093,0.9567857348542669,3.490658503988659e-05,0.0027401669256310974,-0.025743606466916362,1.3140911,-0.7649187,9.80665
1787052338.389197,7.308,3.0,0.0,3,0,77097.78066951847,-59270.11406078004,0.0,2.5,0.0,383.0,0.0,1.004928100482836,0.8787613038096161,382.0,0.9182690551089114,31.741238325351784,140.68367605635052,-0.3239266594944951,-2.074,0.0,-10.717327379879146,1.0254077910380832,0.010422583454199535,1.1174025149842828,3.0,3.0,0.44247291797063165,0.0,0.0,0.0,0.0,3.2219213442978902,nan,4,7.063814163208008,-1,168,True,True,False,"A:1,B:1,ESTOP:0,MODE:1",DRIVE_HEADING,,,UNKNOWN,0.0,False,-1.0,False,36.96756789,127.872977435,122.949,1,0.004096,36.96756750647694,127.87297943085106,2.0,0.10503207588195801,0.0,0.0,0.08206415176391602,0.1813617379175089,7.049491074428208,-13.545891682909843,0.0,9.0,0.0,-0.0025965259101387765,-0.017470550696831382,0.2896063057984538,0.9569828763114415,-0.003735004599267865,-0.06677629718130305,-0.036198128686362394,2.2163029,-0.24516625,9.590903699999998
1787052338.439214,7.358,3.0,0.0,3,0,77097.8665281206,-59270.13503373453,0.0,2.0,0.0,383.0,0.0,1.0057840563051388,0.8787613038096161,382.0,0.9182690551089114,31.82928382317427,140.68367605635052,-0.3239266594944951,-1.2050000000000003,0.0,-10.717327379879146,1.0254077910380832,0.010422583454199535,1.1174025149842828,3.0,3.0,0.44247291797063165,0.0,0.0,0.0,0.0,3.2219213442978902,nan,4,7.206362247467041,-1,169,True,True,False,"A:1,B:1,ESTOP:0,MODE:1",DRIVE_HEADING,,,UNKNOWN,0.0,False,-1.0,False,36.96756789,127.872977435,122.949,1,0.004096,36.967567318073684,127.87298040302942,2.0,0.13002728366851807,0.0,0.0,0.13205456733703613,0.269744680191902,7.049491074428208,-13.545891682909843,0.0,9.0,0.0,-0.0024773443588692575,-0.017519132988534955,0.28880543917846924,0.9572243002792966,0.03766420525803763,-0.07152359274672762,-0.021031217486531674,0.9218251,-1.6671305,10.287175849999999
1787052338.489202,7.408,3.0,0.0,3,0,77097.95239144671,-59270.15611144858,0.0,2.0,0.0,383.0,0.0,1.0121898145413946,0.8787613038096161,382.0,0.9182690551089114,31.917351772040334,140.68367605635052,-0.3239266594944951,-1.404,0.0,-10.717327379879146,1.0254077910380832,0.010422583454199535,1.1174025149842828,3.0,3.0,0.44247291797063165,0.0,0.0,0.0,0.0,3.2219213442978902,nan,5,7.350398063659668,-1,170,True,True,False,"A:1,B:1,ESTOP:0,MODE:1",DRIVE_HEADING,,,UNKNOWN,0.0,False,-1.0,False,36.96756789,127.872977435,122.949,1,0.004096,36.96756712872936,127.87298137526126,2.0,0.15503083610534668,0.0,0.0,0.18206167221069336,0.3581570423453767,7.049491074428208,-13.545891682909843,0.0,9.0,0.0,-0.0020793276486103917,-0.017402343588247556,0.2880525577886871,0.9574542071480815,-0.00783652834145454,-0.07791149780902688,-0.024504422698000385,1.0395048999999998,-1.0395048999999998,10.189109349999999
1787052338.539225,7.458,3.0,0.0,3,0,77098.06703110087,-59270.180892297605,0.0,2.5,0.0,383.0,0.0,1.0246955536468847,0.8787613038096161,382.0,0.9182690551089114,32.03442634309635,140.68367605635052,-0.3239266594944951,-2.561,0.0,-10.717327379879146,1.0254077910380832,0.010422583454199535,1.1174025149842828,3.0,3.0,0.44247291797063165,0.0,0.0,0.0,0.0,3.2219213442978902,nan,5,7.362053394317627,-1,167,True,True,False,"A:1,B:1,ESTOP:0,MODE:1",DRIVE_HEADING,,,UNKNOWN,0.0,False,-1.0,False,36.96756705333333,127.87298189166667,122.941,1,0.004096,36.9675669061192,127.87298267332794,2.0,0.08005236530303955,0.0,0.0,0.0321047306060791,0.07095145463943482,7.481693987458142,-13.313196539081268,0.0,9.0,0.0,-0.0023407485186559326,-0.017092301033513266,0.28728537178565106,0.9576896623122401,0.02757620218151041,-0.05483824509766183,-0.04469788214357478,0.30400615,-0.8924051499999999,10.0616229
1787052338.589197,7.508,3.0,0.0,3,0,77098.17444823004,-59270.20652209984,0.0,2.5,0.0,383.0,0.0,1.0333308982606526,0.8787613038096161,382.0,0.9182690551089114,32.14449367910705,140.68367605635052,-0.3239266594944951,-0.9800000000000001,0.0,-10.717327379879146,1.0254077910380832,0.010422583454199535,1.1174025149842828,3.0,3.0,0.44247291797063165,0.0,0.0,0.0,0.0,3.2219213442978902,nan,5,7.46483039855957,-1,174,True,True,False,"A:1,B:1,ESTOP:0,MODE:1",DRIVE_HEADING,,,UNKNOWN,0.0,False,-1.0,False,36.96756705333333,127.87298189166667,122.941,1,0.004096,36.96756667588277,127.87298388961385,2.0,0.10503708267211914,0.0,0.0,0.08207416534423828,0.1813838771015929,7.481693987458142,-13.313196539081268,0.0,9.0,0.0,-0.0024450016029184526,-0.016781436127720584,0.28663707847287073,0.9578891327357202,-0.009564404300928926,-0.03321361566545209,-0.01710422666954443,0.9512450499999999,-0.2745862,9.924329799999999
1787052338.639243,7.558,3.0,0.0,3,0,77098.28188008709,-59270.23231446276,0.0,2.5,0.0,383.0,0.0,1.0366731248895193,0.8787613038096161,382.0,0.9182690551089114,32.25460288963303,140.68367605635052,-0.3239266594944951,-2.23,0.0,-10.717327379879146,1.0254077910380832,0.010422583454199535,1.1174025149842828,3.0,3.0,0.44247291797063165,0.0,0.0,0.0,0.0,3.2219213442978902,nan,5,7.857154846191406,-1,172,True,True,False,"A:1,B:1,ESTOP:0,MODE:1",DRIVE_HEADING,,,UNKNOWN,0.0,False,-1.0,False,36.96756705333333,127.87298189166667,122.941,1,0.004096,36.96756644418603,127.87298510606652,2.0,0.13003360176086426,0.0,0.0,0.13206720352172852,0.29186837422340356,7.481693987458142,-13.313196539081268,0.0,9.0,0.0,-0.002150743038493017,-0.017043333483027195,0.28594307123205764,0.9580926150965506,0.027227136331111543,0.016667894356545847,-0.03892084231947355,2.59876225,-0.40207265,9.934136449999999
1787052338.689203,7.608,3.0,0.0,3,0,77098.38927994185,-59270.258304804534,0.0,2.5,0.0,383.0,0.0,1.0398159203816424,0.8787613038096161,382.0,0.9182690551089114,32.36471332107149,140.68367605635052,-0.3239266594944951,-1.918,0.0,-10.717327379879146,1.0254077910380832,0.010422583454199535,1.1174025149842828,3.0,3.0,0.44247291797063165,0.0,0.0,0.0,0.0,3.2219213442978902,nan,5,8.263164520263672,-1,168,True,True,False,"A:1,B:1,ESTOP:0,MODE:1",DRIVE_HEADING,,,UNKNOWN,0.0,False,-1.0,False,36.96756705333333,127.87298189166667,122.941,1,0.004096,36.96756621071082,127.87298632215683,2.0,0.15503357791900635,0.0,0.0,0.1820671558380127,0.40236791811659983,7.481693987458142,-13.313196539081268,0.0,9.0,0.0,-0.0021107767316490165,-0.016789503456525016,0.285253610764453,0.9583026843023632,-0.0170518667919846,-0.03490658503988659,-0.03347541505325124,2.4614691499999997,-1.24544455,10.071429549999998
1787052338.739206,7.658,3.0,0.0,3,0,77098.4649166469,-59270.269155842216,0.0,2.5,0.0,383.0,0.0,1.0492924128977201,0.8787613038096161,382.0,0.9182690551089114,32.441119724010754,140.68367605635052,-0.3239266594944951,-2.239,0.0,-10.717327379879146,1.0254077910380832,0.010422583454199535,1.1174025149842828,3.0,3.0,0.44247291797063165,0.0,0.0,0.0,0.0,3.2219213442978902,nan,6,8.449923515319824,-1,382,True,True,False,"A:1,B:1,ESTOP:0,MODE:1",DRIVE_HEADING,,,UNKNOWN,0.0,False,-1.0,False,36.967566246666664,127.87298643,122.937,1,0.004096,36.96756611323429,127.87298717859248,2.0,0.07933043384552002,0.0,0.0,0.03066086769104004,0.06776051759719849,7.309593786099917,-12.628174089003496,0.0,9.0,0.0,-0.0024935468511700686,-0.016033004558109108,0.2845243405162779,0.9585314938189136,0.005445427266222308,0.04562290664713177,-0.03907792195215304,1.3827376499999997,-0.46091255,9.875296549999998
1787052338.789181,7.708,3.0,0.0,3,0,77098.57244579226,-59270.29346530797,0.0,2.5,0.0,383.0,0.0,1.0542813059749718,0.8787613038096161,382.0,0.9182690551089114,32.55110278107342,140.68367605635052,-0.3239266594944951,-1.687,0.0,-10.717327379879146,1.0254077910380832,0.010422583454199535,1.1174025149842828,3.0,3.0,0.44247291797063165,0.0,0.0,0.0,0.0,3.2219213442978902,nan,4,8.488082885742188,-1,175,True,True,False,"A:1,B:1,ESTOP:0,MODE:1",DRIVE_HEADING,,,UNKNOWN,0.0,False,-1.0,False,36.967566246666664,127.87298643,122.937,1,0.004096,36.967565894858645,127.87298839614675,2.0,0.10427223587036133,0.0,0.0,0.08054447174072266,0.17800324523666394,7.309593786099917,-12.628174089003496,0.0,9.0,0.0,-0.0023140006392032416,-0.01567291088273106,0.28364518566047253,0.9587984219413066,0.014364059743913332,0.12465141517743503,-0.02944370448114434,0.6276256,-0.02941995,10.0420096
1787052338.839198,7.758,3.0,0.0,3,0,77098.65864791306,-59270.31303935155,0.0,2.0,0.0,383.0,0.0,1.0581977308554062,0.8787613038096161,382.0,0.9182690551089114,32.63928657493816,140.68367605635052,-0.3239266594944951,-0.493,0.0,-10.717327379879146,1.0254077910380832,0.010422583454199535,1.1174025149842828,3.0,3.0,0.44247291797063165,0.0,0.0,0.0,0.0,3.2219213442978902,nan,4,8.297080039978027,-1,170,True,True,False,"A:1,B:1,ESTOP:0,MODE:1",DRIVE_HEADING,,,UNKNOWN,0.0,False,-1.0,False,36.967566246666664,127.87298643,122.937,1,0.004096,36.96756571902202,127.87298937221478,2.0,0.129271258354187,0.0,0.0,0.13054251670837402,0.2663997260387388,7.309593786099917,-12.628174089003496,0.0,9.0,0.0,-0.002262911215909093,-0.016043140831008048,0.2828288309707981,0.9590335495887499,-0.005602506898901798,0.12346459128607887,-0.008604473212332044,-0.6472389,0.1372931,10.09104285
1787052338.889212,7.808,3.0,0.0,3,0,77098.74484540398,-59270.3327191727,0.0,2.0,0.0,383.0,0.0,1.0622806857907126,0.8787613038096161,382.0,0.9182690551089114,32.727483185383306,140.68367605635052,-0.3239266594944951,-2.207,0.0,-10.717327379879146,1.0254077910380832,0.010422583454199535,1.1174025149842828,3.0,3.0,0.44247291797063165,0.0,0.0,0.0,0.0,3.2219213442978902,nan,6,8.13533878326416,-1,169,True,True,False,"A:1,B:1,ESTOP:0,MODE:1",DRIVE_HEADING,,,UNKNOWN,0.0,False,-1.0,False,36.967566246666664,127.87298643,122.937,1,0.004096,36.96756554223518,127.87299034823037,2.0,0.15427564525604248,0.0,0.0,0.18055129051208496,0.3548150844296024,7.309593786099917,-12.628174089003496,0.0,9.0,0.0,-0.002839900327473897,-0.014461385429774296,0.28213335261366546,0.9592619947858637,-0.0032812189937493396,0.02897246558310587,-0.03851941659151485,-0.6864655000000001,-0.63743225,9.914523149999999
1787052338.939200,7.858,3.0,0.0,3,0,77098.89692610194,-59270.37853566156,0.0,3.0,0.0,383.0,0.0,1.0611452068922056,0.8787613038096161,382.0,0.9182690551089114,32.88480311977875,140.68367605635052,-0.3239266594944951,-3.507,0.0,-10.717327379879146,1.0254077910380832,0.010422583454199535,1.1174025149842828,3.0,3.0,0.44247291797063165,0.0,0.0,0.0,0.0,3.2219213442978902,nan,6,7.905583381652832,0,168,True,True,False,"A:1,B:1,ESTOP:0,MODE:1",DRIVE_HEADING,,,UNKNOWN,0.0,False,-1.0,False,36.96756532166667,127.87299110833334,122.942,1,0.004096,36.967565130658656,127.8729920702426,2.0,0.08051060581207276,0.0,0.0,0.03302121162414551,0.0875722532272339,7.547034836484609,-13.994205522391702,0.0,9.0,0.0,-0.0032259669960091985,-0.014030618546762776,0.2811305816605253,0.9595615305624495,0.017523105690023067,0.06161012259539983,-0.06120869686744114,-0.980665,-0.0588399,9.1594111
1787052338.989209,7.908,3.0,0.0,3,0,77099.0254993165,-59270.41096747818,0.0,3.0,0.0,383.0,0.0,1.0662328782911574,0.8787613038096161,382.0,0.9182690551089114,33.016842102947514,140.68367605635052,-0.3239266594944951,-1.887,0.0,-10.717327379879146,1.0254077910380832,0.010422583454199535,1.1174025149842828,3.0,3.0,0.44247291797063165,0.0,0.0,0.0,0.0,3.2219213442978902,nan,5,7.886295795440674,-1,169,True,True,False,"A:1,B:1,ESTOP:0,MODE:1",DRIVE_HEADING,,,UNKNOWN,0.0,False,-1.0,False,36.96756532166667,127.87299110833334,122.942,1,0.004096,36.96756483931869,127.87299352607921,2.0,0.1055107011795044,0.0,0.0,0.08302140235900879,0.22017267036185792,7.547034836484609,-13.994205522391702,0.0,9.0,0.0,-0.0031444579216351877,-0.013790968723951977,0.28024707096725987,0.959823682131414,0.005166174585903215,0.05977752688080579,-0.032934362985133,0.28439285,0.12748644999999997,9.581097049999999
