t_wall,t_rel,cmd_pulse,cmd_steer_deg,drive_pulse_cmd,brake_level,brake_pot,ego_x_m,ego_y_m,ego_heading_deg,ego_pulse,ego_wp_idx,ego_wp_total,ego_fix_ok,cte_m,heading_err_deg,target_idx,target_dist_m,goal_dist_m,gps_course_deg,fuse_corr_deg,gyro_z_dps,brake_latched,head_init_deg,head_sigma_deg,head_resid_m,head_dist_m,ref_pulse,out_pulse,meas_pulse,cte_integral,cte_i_term_deg,goal_phase,cb_state,cb_v0_ms,cb_v_corner_ms,goal_need_m,lidar_zone,rejoin,encoder_sum,speed_kmh,steer_measured_deg,throttle_raw,control_state,vehicle_mode,estop,board_status,drive_state,lstatus,drive_cmd,drive_event,tl_state,tl_near_metric,tl_red_far,sl_px,sl_y,sl_wait,fix_lat,fix_lon,fix_alt_m,fix_status,fix_cov_xx,gps_lat,gps_lon,gps_quality,gps_sigma_m,gps_pos_ok,gps_is_raw,gps_raw_age_s,gps_dr_dist_m,gps_kmh,gps_fix_course_deg,gps_mode,gps_reject_n,gps_resid_m,imu_quat_x,imu_quat_y,imu_quat_z,imu_quat_w,imu_gyro_x,imu_gyro_y,imu_gyro_z,imu_acc_x,imu_acc_y,imu_acc_z
1788867178.902567,24.069,3.0,-39.800469693552394,2,0,188,113.406887192923,-33.961789174978605,79.74342384624583,1.5,111.0,188.0,1.0,1.3905241387556022,30.77146720433939,117.0,2.534333152571105,24.224941485429255,119.83131206155258,2.348003139759541,16.063,0.0,-13.309968856121605,0.9652284248432731,0.005226171134933526,1.1870839632031323,2.0,2.0,1.5317695232882391,4.479717821816277,1.3439153465448832,0.0,0.0,0.0,nan,0.5,,,3,5.4718427658081055,-40,169,True,True,False,"A:1,B:1,ESTOP:0,MODE:1",DRIVE_RUN,0,,,,,,-1.0,-1.0,False,36.96763842166666,127.87397812166667,122.078,2,0.00013455999999999999,36.96764020007857,127.87397663254673,4.0,0.10142324600219726,1.0,0.0,0.17964649200439453,0.23818964281540886,4.7216214944219805,119.83131206155258,0.0,10.0,0.0,-0.47915206033183566,0.11292017165914486,0.8568370379853236,0.15327305128026636,-0.36880552423892177,0.15824900327832586,0.25232224996082026,-8.139519499999999,0.5687857,5.785923499999999
1788867178.952564,24.119,3.0,-39.73273143367964,3,0,189,113.36908286526447,-33.90735155192605,80.55955965280634,1.5,111.0,188.0,1.0,1.3869541010537323,36.51211979694574,118.0,2.816277032274311,24.173812812621883,119.83131206155258,2.348003139759541,14.457000000000003,0.0,-13.309968856121605,0.9652284248432731,0.005226171134933526,1.1870839632031323,2.0,3.0,1.4838533923387744,4.549244028754058,1.3647732086262172,0.0,0.0,0.0,nan,0.5,,,3,5.735620975494385,-40,169,True,True,False,"A:1,B:1,ESTOP:0,MODE:1",DRIVE_RUN,0,,,,,,-1.0,-1.0,False,36.96764007833333,127.87397601666666,122.06700000000001,2,0.00013455999999999999,36.967640324334305,127.87397573374261,4.0,0.025623542404174804,1.0,0.0,0.02804708480834961,0.037190434455871585,4.754686004104144,132.37907311894523,0.0,10.0,0.0,-0.4822153542247616,0.10785367598523743,0.857535778564489,0.14306755470110885,-0.4001865441897798,0.020106192982974676,0.2496518962052689,-8.0218397,-1.12776475,5.8545700499999995
1788867179.002559,24.169,3.0,-35.91343800668925,3,0,190,113.28914217968565,-33.8935194668233,83.82714696008162,1.5,112.0,188.0,1.0,1.441572898090282,35.49139579215036,118.0,2.750749571069685,24.0931065658141,132.37907311894523,2.5553645346770324,14.304,0.0,-13.309968856121605,0.9652284248432731,0.005226171134933526,1.1870839632031323,2.0,3.0,1.4838533923387744,4.618591733806745,1.3855775201420233,0.0,0.0,0.0,nan,0.5,,,3,5.715198040008545,-40,182,True,True,False,"A:1,B:1,ESTOP:0,MODE:1",DRIVE_RUN,0,,,,,,-1.0,-1.0,False,36.96764007833333,127.87397601666666,122.06700000000001,2,0.00013455999999999999,36.96764075895079,127.87397522397092,4.0,0.05062566432952881,1.0,0.0,0.07805132865905762,0.10349491756179033,4.754686004104144,132.37907311894523,0.0,10.0,0.0,-0.48098224287936203,0.10015166068615922,0.8605857538017251,0.1342307239422458,-0.39250709548100476,-0.0733736417538416,0.2519557308179014,-8.01203305,0.196133,4.658158749999999
1788867179.052602,24.219,3.0,-35.491813276295495,3,0,188,113.2438024910857,-33.84513818062466,84.54010227471787,1.5,112.0,188.0,1.0,1.4476691208142272,30.83060349972978,118.0,2.7040145573932266,24.036405922389278,132.37907311894523,2.5553645346770324,14.436,0.0,-13.309968856121605,0.9652284248432731,0.005226171134933526,1.1870839632031323,2.0,3.0,1.4838533923387744,4.690670378711259,1.4072011136133775,0.0,0.0,0.0,nan,0.5,,,3,5.710075855255127,-40,169,True,True,False,"A:1,B:1,ESTOP:0,MODE:1",DRIVE_RUN,0,,,,,,-1.0,-1.0,False,36.96764007833333,127.87397601666666,122.06700000000001,2,0.00013455999999999999,36.96764118877678,127.87397470769083,4.0,0.07563207778930664,1.0,0.0,0.12806415557861328,0.16980713970866776,4.754686004104144,132.37907311894523,0.0,10.0,0.0,-0.4816144559335534,0.09515567379485793,0.862227506153235,0.1247262651298722,-0.37768925013157295,0.04370304446993801,0.22268655926195652,-8.4729456,0.1569064,5.0013914999999995
1788867179.102586,24.269,3.0,-34.96675987188064,3,0,188,113.19788393898673,-33.79729017049573,85.27313565617999,1.5,112.0,188.0,1.0,1.4494827368395233,29.661637227058225,118.0,2.6412129358424474,23.979339386837495,132.37907311894523,2.5553645346770324,12.759,0.0,-13.309968856121605,0.9652284248432731,0.005226171134933526,1.1870839632031323,2.0,3.0,1.4838533923387744,4.76305383475197,1.428916150425591,0.0,0.0,0.0,nan,0.5,,,3,5.836614608764648,-40,170,True,True,False,"A:1,B:1,ESTOP:0,MODE:1",DRIVE_RUN,0,,,,,,-1.0,-1.0,False,36.96764007833333,127.87397601666666,122.06700000000001,2,0.00013455999999999999,36.9676416135835,127.87397418484194,4.0,0.10064087543487549,1.0,0.0,0.17808175086975098,0.2361193771543581,4.754686004104144,132.37907311894523,0.0,10.0,0.0,-0.48165598733296633,0.0860522309604713,0.8641916945168876,0.11736796215774381,-0.35123005867133883,0.10946705068508435,0.2647315409424999,-8.60043205,-0.3138128,5.834956749999999
1788867179.152586,24.319,3.0,-34.46228317451755,3,0,189,113.15138114915851,-33.7500009025889,85.90238497740228,1.5,112.0,188.0,1.0,1.4510324076436578,28.433870086512,118.0,2.578842191885932,23.921906070546296,132.37907311894523,2.5553645346770324,15.168,0.0,-13.309968856121605,0.9652284248432731,0.005226171134933526,1.1870839632031323,2.0,3.0,1.4838533923387744,4.8355279715939465,1.4506583914781839,0.0,0.0,0.0,nan,0.5,,,3,5.898621559143066,-40,455,True,True,False,"A:1,B:1,ESTOP:0,MODE:1",DRIVE_RUN,0,,,,,,-1.0,-1.0,False,36.967641506666666,127.87397378833333,122.048,2,0.00013455999999999999,36.967641506666666,127.87397378833333,4.0,0.0116,1.0,1.0,0.0,0.0,4.455302822004477,132.37907311894523,0.0,10.0,0.0,-0.4821943306943061,0.08057765371926123,0.8656869722812109,0.10761939969150025,-0.35959018578839175,-0.06382669074543264,0.2591813939211579,-8.3356525,-0.40207265,5.07003805
1788867179.202588,24.369,3.0,-32.641899548341044,3,0,189,113.11611521125735,-33.76190283036007,86.66306254393061,1.5,112.0,188.0,1.0,1.4848928059193331,27.268170729349077,118.0,2.5169569237471445,23.8910881492234,132.37907311894523,2.5553645346770324,14.849999999999998,0.0,-13.309968856121605,0.9652284248432731,0.005226171134933526,1.1870839632031323,2.0,3.0,1.4838533923387744,4.908079591976129,1.4724238775928387,0.0,0.0,0.0,nan,0.5,,,3,5.829514980316162,-40,168,True,True,False,"A:1,B:1,ESTOP:0,MODE:1",DRIVE_RUN,0,,,,,,-1.0,-1.0,False,36.967641506666666,127.87397378833333,122.048,2,0.00013455999999999999,36.967642030251994,127.87397312532804,4.0,0.04286406669616699,1.0,0.0,0.06252813339233398,0.08291230487823488,4.455302822004477,132.37907311894523,0.0,10.0,0.0,-0.48146235407899945,0.07674827869995599,0.8676668425805605,0.09725201081511395,-0.323810936122508,0.02694788365079245,0.24281020553745114,-8.2571993,1.0002783,5.20733115
1788867179.252584,24.419,3.0,-34.85996887243751,3,0,189,113.0571467477067,-33.7036175782622,87.40137340551814,1.5,112.0,188.0,1.0,1.4880078652043325,25.661928673215268,118.0,2.5142965386073945,23.818734446863175,132.37907311894523,2.5553645346770324,13.912,0.0,-13.309968856121605,0.9652284248432731,0.005226171134933526,1.1870839632031323,2.0,3.0,1.4838533923387744,4.982324232272096,1.4946972696816287,0.0,0.0,0.0,nan,0.5,,,3,6.096163272857666,-40,168,True,True,False,"A:1,B:1,ESTOP:0,MODE:1",DRIVE_RUN,0,,,,,,-1.0,-1.0,False,36.967641506666666,127.87397378833333,122.048,2,0.00013455999999999999,36.9676424434461,127.8739725877287,4.0,0.06788180503845215,1.0,0.0,0.1125636100769043,0.14925596270457184,4.455302822004477,132.37907311894523,0.0,10.0,0.0,-0.4827281369616034,0.07073971464247047,0.8684182828447672,0.08842581398453375,-0.3608817294348675,0.08751080869499568,0.23825489618974593,-7.77667345,-0.4903325,6.32528925
1788867179.302598,24.469,3.0,-34.49684174671526,3,0,189,113.00933203647885,-33.65762102053171,88.09960302740535,1.5,113.0,188.0,1.0,1.488635260497013,31.288824124878722,119.0,2.813321265180645,23.7604506939081,132.37907311894523,2.5553645346770324,13.651000000000002,0.0,-13.309968856121605,0.9652284248432731,0.005226171134933526,1.1870839632031323,2.0,3.0,1.4001580207430788,5.056724625532312,1.5170173876596935,0.0,0.0,0.0,1.6904813765763143,0.5,,,2,6.071047782897949,-40,181,True,True,False,"A:1,B:1,ESTOP:0,MODE:1",DRIVE_RUN,0,,,,,,-1.0,-1.0,False,36.967641506666666,127.87397378833333,122.048,2,0.00013455999999999999,36.967642851641926,127.87397204466369,4.0,0.09288774166107178,1.0,0.0,0.16257548332214355,0.21556371570474364,4.455302822004477,132.37907311894523,0.0,10.0,0.0,-0.48304695177452356,0.06571574697646868,0.8695046832674702,0.07942725449492886,-0.3732561138315073,-0.07892378877518359,0.20668189002116852,-8.394492399999999,0.22555294999999997,4.95235825
1788867179.352559,24.519,3.0,-34.0815615663195,3,0,190,112.96103120135021,-33.61218086928135,88.78107183200319,1.5,113.0,188.0,1.0,1.4847760790035227,30.1767684705029,119.0,2.7500889411809593,23.701886496097707,132.37907311894523,2.5553645346770324,11.842,0.0,-13.309968856121605,0.9652284248432731,0.005226171134933526,1.1870839632031323,2.0,3.0,1.4001580207430788,5.131156388557163,1.539346916567149,0.0,0.0,0.0,1.6904813765763143,0.5,,,3,6.174780368804932,-39,356,True,True,False,"A:1,B:1,ESTOP:0,MODE:1",DRIVE_RUN,0,,,,,,-1.0,-1.0,False,36.96764264833333,127.87397165166666,122.059,2,0.00013455999999999999,36.96764264833333,127.87397165166666,4.0,0.0116,1.0,1.0,0.0,0.0,4.266856827348877,143.6129492781226,0.0,10.0,0.0,-0.4829048070198672,0.0606904488790512,0.8706979746308846,0.07074357741618278,-0.33238050274980013,0.06047565858160352,0.22563616569782693,-7.84532,-0.5687857,4.93274495
1788867179.402578,24.569,3.0,-29.52247991419624,3,0,191,112.92607758813028,-33.63481307853376,92.08542570420423,1.0,113.0,188.0,1.0,1.5245631137179716,29.04731402779767,119.0,2.687271861607796,23.674128592944466,143.6129492781226,2.711974924943071,12.928,0.0,-13.309968856121605,0.9652284248432731,0.005226171134933526,1.1870839632031323,2.0,3.0,1.4001580207430788,5.205395192507339,1.5616185577522017,0.0,0.0,0.0,1.6904813765763143,0.5,,,2,6.011993885040283,-38,169,True,True,False,"A:1,B:1,ESTOP:0,MODE:1",DRIVE_RUN,0,,,,,,-1.0,-1.0,False,36.96764264833333,127.87397165166666,122.059,2,0.00013455999999999999,36.967642979919646,127.87397107882747,4.0,0.04718540344238281,1.0,0.0,0.07117080688476562,0.06291499328613281,4.266856827348877,143.6129492781226,0.0,10.0,0.0,-0.48387175622359524,0.05656426822285501,0.8711478370692439,0.0614007578054587,-0.39084903269161014,-0.04553564018453206,0.22762584104510045,-8.3356525,1.765197,5.3348176
1788867179.452563,24.619,3.0,-28.66509741300658,3,0,189,112.87512860230106,-33.59790105890951,92.731011367046,1.0,113.0,188.0,1.0,1.528944118592888,24.859917744554505,119.0,2.691289061162249,23.615251974221486,143.6129492781226,2.711974924943071,13.042,0.0,-13.309968856121605,0.9652284248432731,0.005226171134933526,1.1870839632031323,2.0,3.0,1.4001580207430788,5.2816233481932375,1.5844870044579713,0.0,0.0,0.0,1.6904813765763143,0.5,,,2,6.278290748596191,-38,274,True,True,False,"A:1,B:1,ESTOP:0,MODE:1",DRIVE_RUN,0,,,,,,-1.0,-1.0,False,36.96764264833333,127.87397165166666,122.059,2,0.00013455999999999999,36.96764320846296,127.87397067225442,4.0,0.0721933666229248,1.0,0.0,0.12118673324584961,0.10712657617547636,4.266856827348877,143.6129492781226,0.0,10.0,0.0,-0.4839306157298176,0.0516641738150243,0.8719829574467187,0.05279861954487687,-0.2550275103014114,0.09923942126839758,0.23054054089593098,-7.77667345,-0.44129925,6.42335575
1788867179.502583,24.669,3.0,-29.570835129963037,3,0,191,112.83896752138277,-33.57245973356509,93.38365179034389,1.0,114.0,188.0,1.0,1.5326341557267238,23.590553276170276,119.0,2.635453383979988,23.573675623200412,143.6129492781226,2.711974924943071,13.209,0.0,-13.309968856121605,0.9652284248432731,0.005226171134933526,1.1870839632031323,2.0,3.0,1.4001580207430788,5.358070554122882,1.6074211662368647,0.0,0.0,0.0,nan,0.5,,,3,6.086671829223633,-38,167,True,True,False,"A:1,B:1,ESTOP:0,MODE:1",DRIVE_RUN,0,,,,,,-1.0,-1.0,False,36.96764264833333,127.87397165166666,122.059,2,0.00013455999999999999,36.967643433395,127.8739702628607,4.0,0.09718797836303711,1.0,0.0,0.17117595672607422,0.15131149161489782,4.266856827348877,143.6129492781226,0.0,10.0,0.0,-0.48403411417148023,0.046960581005743615,0.8726713870380306,0.04416254515936745,-0.3349984966277916,-0.0153588974175501,0.19771089766591765,-8.85540495,1.4709975,5.099458
1788867179.552558,24.719,3.0,-28.808113813710534,3,0,189,112.80255556679487,-33.54742041369414,94.04427122112429,1.5,114.0,188.0,1.0,1.5367935021107941,25.93454674160878,120.0,2.788565581965081,23.531972059581864,143.6129492781226,2.711974924943071,11.328,0.0,-13.309968856121605,0.9652284248432731,0.005226171134933526,1.1870839632031323,2.0,3.0,1.4001580207430788,5.4347022619092185,1.6304106785727654,0.0,0.0,0.0,nan,0.5,,,3,5.9865899085998535,-37,169,True,True,False,"A:1,B:1,ESTOP:0,MODE:1",DRIVE_RUN,0,,,,,,-1.0,-1.0,False,36.96764362333333,127.87396947166667,122.07,2,0.00012995999999999998,36.967643808041586,127.87396912971695,4.0,0.025243059539794922,1.0,0.0,0.027686119079589844,0.03671179389953614,4.213753066259964,143.6129492781226,0.0,10.0,0.0,-0.4840360320354573,0.042252462464023276,0.8732857316325519,0.03599833376831419,-0.2601238717172349,-0.0015882496193148398,0.21485003092050198,-9.0417313,-0.1569064,4.1972461999999995
1788867179.602579,24.769,3.0,-29.955710867278,3,0,228,112.70177244204594,-33.50571494614501,94.61142420574345,1.5,114.0,188.0,1.0,1.5613706824389237,24.86775670406712,120.0,2.748973070567841,23.42378798370561,143.6129492781226,2.711974924943071,12.31,0.0,-13.309968856121605,0.9652284248432731,0.005226171134933526,1.1870839632031323,2.0,3.0,1.4001580207430788,5.5115419370147585,1.6534625811044275,0.0,0.0,0.0,nan,0.5,,,2,5.876115322113037,-36,185,True,True,False,"A:1,B:1,ESTOP:0,MODE:1",DRIVE_RUN,0,,,,,,-1.0,-1.0,False,36.96764362333333,127.87396947166667,122.07,2,0.00012995999999999998,36.96764413808411,127.87396850896916,4.0,0.050249592208862305,1.0,0.0,0.07769918441772461,0.10302848592375818,4.213753066259964,143.6129492781226,0.0,10.0,0.0,-0.48491541299578594,0.03814646971294823,0.8732842862559006,0.027864753113699084,-0.37854446146505016,0.03939208121751202,0.17367771386595574,-7.50208725,1.14737805,4.7268053
