t_wall,t_rel,cmd_pulse,cmd_steer_deg,drive_pulse_cmd,brake_level,ego_x_m,ego_y_m,ego_heading_deg,ego_pulse,ego_wp_idx,ego_wp_total,ego_fix_ok,cte_m,heading_err_deg,target_idx,target_dist_m,goal_dist_m,gps_course_deg,fuse_corr_deg,gyro_z_dps,brake_latched,head_init_deg,head_sigma_deg,head_resid_m,head_dist_m,encoder_sum,steer_measured_deg,throttle_raw,control_state,vehicle_mode,estop,board_status,drive_state,drive_cmd,drive_event,fix_lat,fix_lon,fix_alt_m,fix_status,fix_cov_xx,imu_quat_x,imu_quat_y,imu_quat_z,imu_quat_w,imu_gyro_x,imu_gyro_y,imu_gyro_z,imu_acc_x,imu_acc_y,imu_acc_z
1786452583.637412,51.256,1.0,-35.39851653057156,1,0,22.304907311180198,4.407509705515652,119.7263872148855,1.0,84.0,161.0,1.0,0.3772417158184171,21.934562218773703,90.0,2.6006692650742926,23.342914965103013,131.4374350143438,0.7294270935618159,10.699,0.0,-12.524098549760645,1.0713513212938799,0.0021969576261647015,1.0694736754595646,2,-38,180,True,True,False,"A:1,B:1,ESTOP:0,MODE:1",DRIVE_RUN,,,36.96766480666667,127.87397783333333,122.50399999999999,2,0.00013924,-0.23789654295712473,0.15719960544037365,0.722522954073452,0.6298048108226961,-0.1192408944962526,0.0018500490071139892,0.18673277667087332,-5.0798447,-0.43149259999999995,8.1983594
1786452583.687396,51.306,1.0,-38.795342263977226,1,0,22.163638500546266,4.550740783656067,120.26018627570704,1.0,84.0,161.0,1.0,0.3840901262032482,21.39652294622693,90.0,2.600669265074293,23.18108926291644,131.4374350143438,0.7294270935618159,12.448,0.0,-12.524098549760645,1.0713513212938799,0.0021969576261647015,1.0694736754595646,2,-38,180,True,True,False,"A:1,B:1,ESTOP:0,MODE:1",DRIVE_RUN,,,36.967666093333335,127.873976245,122.49199999999999,2,0.00015376,-0.2401060860870931,0.15578115689574212,0.7257327642741888,0.6256143008588491,-0.11925834778877255,-0.06551966011986714,0.21725858528825415,-4.3933792,0.32361945,8.139519499999999
1786452583.737422,51.356,1.0,-37.9975746680393,1,0,22.163638500546266,4.550740783656067,120.88237793372707,1.0,84.0,161.0,1.0,0.3840901262032482,25.920586371927232,91.0,2.821449959804922,23.18108926291644,131.4374350143438,0.7294270935618159,11.17,0.0,-12.524098549760645,1.0713513212938799,0.0021969576261647015,1.0694736754595646,1,-38,180,True,True,False,"A:1,B:1,ESTOP:0,MODE:1",DRIVE_RUN,,,36.967666093333335,127.873976245,122.49199999999999,2,0.00015376,-0.2387053368885204,0.153598864602408,0.7300610318447747,0.6216414084627341,-0.1185602160879748,-0.02757620218151041,0.1949532774477666,-5.4917240000000005,-2.5693422999999997,9.4339973
1786452583.787409,51.406,1.0,-37.27538877088362,1,0,22.163638500546266,4.550740783656067,121.43997992442684,1.0,84.0,161.0,1.0,0.3840901262032482,25.29839471390721,91.0,2.821449959804922,23.18108926291644,131.4374350143438,0.7294270935618159,12.14,0.0,-12.524098549760645,1.0713513212938799,0.0021969576261647015,1.0694736754595646,4,-38,181,True,True,False,"A:1,B:1,ESTOP:0,MODE:1",DRIVE_RUN,,,36.967666093333335,127.873976245,122.49199999999999,2,0.00015376,-0.2395703667227319,0.15297379085455853,0.7336387401418482,0.6172351720884054,-0.10452776890194039,0.0005759586531581288,0.2118829711921116,-5.619210449999999,0.37265269999999995,7.7374468499999995
1786452583.837412,51.456,1.0,-36.478812281485254,1,0,22.163638500546266,4.550740783656067,122.04904015945033,2.0,84.0,161.0,1.0,0.3840901262032482,24.740792723207427,91.0,2.821449959804922,23.18108926291644,131.4374350143438,0.7294270935618159,11.906,0.0,-12.524098549760645,1.0713513212938799,0.0021969576261647015,1.0694736754595646,4,-38,181,True,True,False,"A:1,B:1,ESTOP:0,MODE:1",DRIVE_RUN,,,36.967666093333335,127.873976245,122.49199999999999,2,0.00015376,-0.2400250412375641,0.1516475557069516,0.7373834350768677,0.6129083684379351,-0.13634512116579703,-0.0460766922526503,0.2077989007424449,-5.6780503499999995,0.34323275000000003,8.3552658
1786452583.887431,51.506,1.0,-38.379072008379154,1,0,22.017922613241307,4.691003341796381,123.27932996560355,2.0,84.0,161.0,1.0,0.38111194716266555,24.131732488183946,91.0,2.8214499598049225,23.015924998427028,135.3506191036933,0.6353310072678824,11.941,0.0,-12.524098549760645,1.0713513212938799,0.0021969576261647015,1.0694736754595646,2,-38,181,True,True,False,"A:1,B:1,ESTOP:0,MODE:1",DRIVE_RUN,,,36.96766735333333,127.87397460666666,122.493,2,0.00013924,-0.24062899240765262,0.14969055663541753,0.7411705209845466,0.608569374920027,-0.10906562495712564,-0.027436575841350862,0.2084097659806429,-5.570177199999999,-1.1571847,7.8649333
1786452583.937435,51.556,1.0,-37.52172399252199,1,0,22.017922613241307,4.691003341796381,123.88802344728731,1.0,85.0,161.0,1.0,0.38111194716266555,23.675472358749136,91.0,2.62256228330397,23.015924998427028,135.3506191036933,0.6353310072678824,10.824,0.0,-12.524098549760645,1.0713513212938799,0.0021969576261647015,1.0694736754595646,2,-38,181,True,True,False,"A:1,B:1,ESTOP:0,MODE:1",DRIVE_RUN,,,36.96766735333333,127.87397460666666,122.493,2,0.00013924,-0.24146252075250035,0.14800159037858773,0.7447277376611814,0.6042946111585934,-0.105574966453137,-0.022183134792847926,0.18891443823586623,-5.24655775,-0.48052585,8.81617835
1786452583.987455,51.606,1.0,-36.767860563310926,1,0,22.017922613241307,4.691003341796381,124.41809261919286,1.0,85.0,161.0,1.0,0.38111194716266555,23.066778877065396,91.0,2.6225622833039695,23.015924998427028,135.3506191036933,0.6353310072678824,8.463,0.0,-12.524098549760645,1.0713513212938799,0.0021969576261647015,1.0694736754595646,3,-38,180,True,True,False,"A:1,B:1,ESTOP:0,MODE:1",DRIVE_RUN,,,36.96766735333333,127.87397460666666,122.493,2,0.00013924,-0.24223567774768653,0.14639848672109365,0.7480923267271635,0.6002059898100247,-0.1237962038439578,-0.013089969389957472,0.14770721459628008,-4.9425516,-0.61781895,8.87501825
1786452584.037421,51.656,1.0,-36.159789549675764,1,0,22.017922613241307,4.691003341796381,124.8422591548088,1.0,85.0,161.0,1.0,0.38111194716266555,22.536709705159833,91.0,2.6225622833039695,23.015924998427028,135.3506191036933,0.6353310072678824,11.872,0.0,-12.524098549760645,1.0713513212938799,0.0021969576261647015,1.0694736754595646,2,-38,182,True,True,False,"A:1,B:1,ESTOP:0,MODE:1",DRIVE_RUN,,,36.96766735333333,127.87397460666666,122.493,2,0.00013924,-0.2435226021310619,0.1441046678373013,0.751438821872679,0.5960455384795844,-0.12344713799355894,-0.049165925028680266,0.2072054887967668,-4.8837117,-0.6962721499999999,8.492558899999999
1786452584.087412,51.706,1.0,-38.63432218964324,1,0,21.85753137178439,4.813454781518016,125.43757104445723,1.5,85.0,161.0,1.0,0.39127770528174777,22.112543169543883,91.0,2.6225622833039695,22.839386326143703,135.3506191036933,0.6353310072678824,13.223,0.0,-12.524098549760645,1.0713513212938799,0.0021969576261647015,1.0694736754595646,3,-38,180,True,True,False,"A:1,B:1,ESTOP:0,MODE:1",DRIVE_RUN,,,36.96766845333333,127.87397280333333,122.483,2,0.00015376,-0.24528811959393704,0.14297790670699254,0.7548617849652263,0.5912484606143761,-0.1322261441310904,-0.07801621756414652,0.23078488699121022,-4.89351835,-0.46091255,8.69849855
