latitude,longitude,heading,speed,steer,direction,pitch,terrain,throttle_pulse,wheel_pulse,wheel_speed,steer_measured,throttle_raw,auto_mode,estop
36.96768004,127.87392460,-176.57,1.431,-9,1,0.00,0,3,1.0,0.442,-9,317,0,0
36.96767983,127.87392172,-174.71,1.186,-8,1,0.00,0,3,1.5,0.663,-8,318,0,0
36.96767948,127.87391881,-171.42,1.374,-7,1,0.00,0,3,1.0,0.442,-7,317,0,0
36.96767935,127.87391586,-176.81,1.266,-7,1,0.00,0,3,1.0,0.442,-7,320,0,0
36.96767902,127.87391291,-172.09,1.360,-5,1,0.00,0,3,1.0,0.442,-5,317,0,0
36.96767881,127.87390994,-174.90,1.327,-3,1,0.00,0,3,1.5,0.663,-3,317,0,0
36.96767857,127.87390704,-174.13,1.232,0,1,0.00,0,4,1.0,0.442,0,341,0,0
36.96767826,127.87390404,-172.76,1.432,1,1,0.00,0,3,1.0,0.442,1,321,0,0
36.96767807,127.87390101,-175.39,1.324,1,1,0.00,0,4,1.0,0.442,1,324,0,0
36.96767790,127.87389791,-176.07,1.479,0,1,0.00,0,5,1.5,0.663,0,404,0,0
36.96767766,127.87389474,-174.70,1.358,1,1,0.00,0,4,1.0,0.442,1,357,0,0
36.96767757,127.87389145,-177.89,1.395,0,1,0.00,0,4,1.5,0.663,0,347,0,0
36.96767734,127.87388814,-175.21,1.559,1,1,0.00,0,3,1.5,0.663,1,320,0,0
36.96767720,127.87388480,-176.82,1.440,1,1,0.00,0,4,1.0,0.442,1,323,0,0
36.96767713,127.87388146,-178.64,1.480,1,1,0.00,0,4,1.5,0.663,1,323,0,0
36.96767708,127.87387811,-178.93,1.526,1,1,0.00,0,3,1.5,0.663,1,320,0,0
36.96767700,127.87387476,-178.22,1.351,2,1,0.00,0,5,1.0,0.442,2,375,0,0
36.96767691,127.87387150,-177.98,1.588,3,1,0.00,0,3,1.0,0.442,3,319,0,0
36.96767691,127.87386813,179.86,1.525,3,1,0.00,0,3,1.0,0.442,3,320,0,0
36.96767698,127.87386482,178.48,1.432,3,1,0.00,0,3,1.0,0.442,3,320,0,0
36.96767703,127.87386158,178.97,1.499,3,1,0.00,0,3,1.0,0.442,3,320,0,0
36.96767719,127.87385831,176.56,1.374,3,1,0.00,0,3,1.0,0.442,3,318,0,0
36.96767739,127.87385498,175.59,1.522,3,1,0.00,0,3,1.0,0.442,3,320,0,0
36.96767757,127.87385181,176.02,1.454,3,1,0.00,0,4,1.0,0.442,3,325,0,0
36.96767784,127.87384852,174.20,1.444,2,1,0.00,0,3,1.0,0.442,2,321,0,0
36.96767814,127.87384533,173.25,1.425,3,1,0.00,0,3,1.5,0.663,3,322,0,0
36.96767847,127.87384205,172.68,1.417,3,1,0.00,0,3,1.0,0.442,3,321,0,0
36.96767881,127.87383890,172.48,1.586,2,1,0.00,0,3,1.0,0.442,2,322,0,0
36.96767911,127.87383571,173.21,1.313,2,1,0.00,0,3,1.0,0.442,2,322,0,0
36.96767950,127.87383253,171.29,1.484,3,1,0.00,0,4,1.0,0.442,3,326,0,0
36.96767991,127.87382937,170.85,1.433,2,1,0.00,0,4,1.5,0.663,2,328,0,0
36.96768036,127.87382609,170.26,1.358,3,1,0.00,0,4,1.5,0.663,3,329,0,0
36.96768085,127.87382279,169.31,1.637,2,1,0.00,0,4,1.0,0.442,2,324,0,0
36.96768135,127.87381940,169.75,1.521,2,1,0.00,0,4,1.5,0.663,2,331,0,0
36.96768188,127.87381589,169.20,1.545,2,1,0.00,0,3,1.5,0.663,2,320,0,0
36.96768237,127.87381245,169.97,1.599,2,1,0.00,0,3,1.5,0.663,2,320,0,0
36.96768302,127.87380899,166.63,1.630,2,1,0.00,0,3,1.0,0.442,2,318,0,0
36.96768364,127.87380558,167.21,1.550,2,1,0.00,0,3,1.5,0.663,2,320,0,0
36.96768440,127.87380219,164.25,1.491,2,1,0.00,0,3,1.5,0.663,2,319,0,0
36.96768517,127.87379884,164.10,1.603,2,1,0.00,0,3,1.5,0.663,2,321,0,0
